chemical_id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,color_intensity,proline
39,13.07,1.5,2.1,15.5,98.0,3.7,1020.0
40,14.22,3.99,2.51,13.2,128.0,5.1,760.0
41,13.56,1.71,2.31,16.2,117.0,6.13,795.0
42,13.41,3.84,2.12,18.8,90.0,4.28,1035.0
43,13.88,1.89,2.59,15.0,101.0,5.43,1095.0
44,13.24,3.98,2.29,17.5,103.0,4.36,680.0
45,13.05,1.77,2.1,17.0,107.0,5.04,885.0
46,14.21,4.04,2.44,18.9,111.0,5.24,1080.0
47,14.38,3.59,2.28,16.0,102.0,4.9,1065.0
48,13.9,1.68,2.12,16.0,101.0,6.1,985.0
49,14.1,2.02,2.4,18.8,103.0,6.2,1060.0
50,13.94,1.73,2.27,17.4,108.0,8.9,1260.0
51,13.05,1.73,2.04,12.4,92.0,7.2,1150.0
52,13.83,1.65,2.6,17.2,94.0,5.6,1265.0
53,13.82,1.75,2.42,14.0,111.0,7.05,1190.0
54,13.77,1.9,2.68,17.1,115.0,6.3,1375.0
55,13.74,1.67,2.25,16.4,118.0,5.85,1060.0
56,13.56,1.73,2.46,20.5,116.0,6.25,1120.0
57,14.22,1.7,2.3,16.3,118.0,6.38,970.0
58,13.29,1.97,2.68,16.8,102.0,6.0,1270.0
59,13.72,1.43,2.5,16.7,108.0,6.8,1285.0
60,12.37,0.94,1.36,10.6,88.0,1.95,520.0
61,12.33,1.1,2.28,16.0,101.0,3.27,680.0
62,12.64,1.36,2.02,16.8,100.0,5.75,450.0
63,13.67,1.25,1.92,18.0,94.0,3.8,630.0
64,12.37,1.13,2.16,19.0,87.0,4.45,420.0
65,12.17,1.45,2.53,19.0,104.0,2.95,355.0
66,12.37,1.21,2.56,18.1,98.0,4.6,678.0
67,13.11,1.01,1.7,15.0,78.0,5.3,502.0
68,12.37,1.17,1.92,19.6,78.0,4.68,510.0
69,13.34,0.94,2.36,17.0,110.0,3.17,750.0
70,12.21,1.19,1.75,16.8,151.0,2.85,718.0
71,12.29,1.61,2.21,20.4,103.0,3.05,870.0
72,13.86,1.51,2.67,25.0,86.0,3.38,410.0
73,13.49,1.66,2.24,24.0,87.0,3.74,472.0
74,12.99,1.67,2.6,30.0,139.0,3.35,985.0
75,11.96,1.09,2.3,21.0,101.0,3.21,886.0
76,11.66,1.88,1.92,16.0,97.0,3.8,428.0
77,13.03,0.9,1.71,16.0,86.0,4.6,392.0
79,12.33,0.99,1.95,14.8,136.0,3.4,750.0
80,12.7,3.87,2.4,23.0,101.0,2.57,463.0
81,12.0,0.92,2.0,19.0,86.0,2.5,278.0
82,12.72,1.81,2.2,18.8,86.0,3.9,714.0
83,12.08,1.13,2.51,24.0,78.0,2.2,630.0
84,13.05,3.86,2.32,22.5,85.0,4.8,515.0
85,11.84,0.89,2.58,18.0,94.0,3.05,520.0
86,12.67,0.98,2.24,18.0,99.0,2.62,450.0
87,12.16,1.61,2.31,22.8,90.0,2.45,495.0
88,11.65,1.67,2.62,26.0,88.0,2.6,562.0
89,11.64,2.06,2.46,21.6,84.0,2.8,680.0
90,12.08,1.33,2.3,23.6,70.0,1.74,625.0
91,12.08,1.83,2.32,18.5,81.0,2.4,480.0
92,12.0,1.51,2.42,22.0,86.0,3.6,450.0
93,12.69,1.53,2.26,20.7,80.0,3.05,495.0
94,12.29,2.83,2.22,18.0,88.0,2.15,290.0
95,11.62,1.99,2.28,18.0,98.0,3.25,345.0
96,12.47,1.52,2.2,19.0,162.0,2.6,937.0
97,11.81,2.12,2.74,21.5,134.0,2.5,625.0
98,12.29,1.41,1.98,16.0,85.0,2.9,428.0
99,12.37,1.07,2.1,18.5,88.0,4.5,660.0
100,12.29,3.17,2.21,18.0,88.0,2.3,406.0
101,12.08,2.08,1.7,17.5,97.0,3.3,710.0
102,12.6,1.34,1.9,18.5,88.0,2.45,562.0
103,12.34,2.45,2.46,21.0,98.0,2.8,438.0
104,11.82,1.72,1.88,19.5,86.0,2.06,415.0
105,12.51,1.73,1.98,20.5,85.0,2.94,672.0
106,12.42,2.55,2.27,22.0,90.0,2.7,315.0
107,12.25,1.73,2.12,19.0,80.0,3.4,510.0
108,12.72,1.75,2.28,22.5,84.0,3.3,488.0
109,12.22,1.29,1.94,19.0,92.0,2.7,312.0
110,11.61,1.35,2.7,20.0,94.0,2.65,680.0
111,11.46,3.74,1.82,19.5,107.0,2.9,562.0
112,12.52,2.43,2.17,21.0,88.0,2.0,325.0
113,11.76,2.68,2.92,20.0,103.0,3.8,607.0
114,11.41,0.74,2.5,21.0,88.0,3.08,434.0
115,12.08,1.39,2.5,22.5,84.0,2.9,385.0
117,11.82,1.47,1.99,20.8,86.0,1.95,495.0
118,12.42,1.61,2.19,22.5,108.0,2.06,345.0
119,12.77,3.43,1.98,16.0,80.0,3.4,372.0
120,12.0,3.43,2.0,19.0,87.0,1.28,564.0
121,11.45,2.4,2.42,20.0,96.0,3.25,625.0
122,11.56,2.05,3.23,28.5,119.0,6.0,465.0
123,12.42,4.43,2.73,26.5,102.0,2.08,365.0
124,13.05,5.8,2.13,21.5,86.0,2.6,380.0
125,11.87,4.31,2.39,21.0,82.0,2.8,380.0
126,12.07,2.16,2.17,21.0,85.0,2.76,378.0
127,12.43,1.53,2.29,21.5,86.0,3.94,352.0
128,11.79,2.13,2.78,28.5,92.0,3.0,466.0
129,12.37,1.63,2.3,24.5,88.0,2.12,342.0
130,12.04,4.3,2.38,22.0,80.0,2.6,580.0
131,12.86,1.35,2.32,18.0,122.0,4.1,630.0
132,12.88,2.99,2.4,20.0,104.0,5.4,530.0
133,12.81,2.31,2.4,24.0,98.0,5.7,560.0
134,12.7,3.55,2.36,21.5,106.0,5.0,600.0
135,12.51,1.24,2.25,17.5,85.0,5.45,650.0
137,12.25,4.72,2.54,21.0,89.0,3.85,720.0
138,12.53,5.51,2.64,25.0,96.0,5.0,515.0
139,13.49,3.59,2.19,19.5,88.0,5.7,580.0
140,12.84,2.96,2.61,24.0,101.0,4.92,590.0
141,12.93,2.81,2.7,21.0,96.0,4.6,600.0
142,13.36,2.56,2.35,20.0,89.0,5.6,780.0
143,13.52,3.17,2.72,23.5,97.0,4.35,520.0
144,13.62,4.95,2.35,20.0,92.0,4.4,550.0
145,12.25,3.88,2.2,18.5,112.0,8.21,855.0
146,13.16,3.57,2.15,21.0,102.0,4.0,830.0
147,13.88,5.04,2.23,20.0,80.0,4.9,415.0
148,12.87,4.61,2.48,21.5,86.0,7.65,625.0
149,13.32,3.24,2.38,21.5,92.0,8.42,650.0
150,13.08,3.9,2.36,21.5,113.0,9.4,550.0
151,13.5,3.12,2.62,24.0,123.0,8.6,500.0
152,12.79,2.67,2.48,22.0,112.0,10.8,480.0
153,13.11,1.9,2.75,25.5,116.0,7.1,425.0
154,13.23,3.3,2.28,18.5,98.0,10.52,675.0
155,12.58,1.29,2.1,20.0,103.0,7.6,640.0
156,13.17,5.19,2.32,22.0,93.0,7.9,725.0
157,13.84,4.12,2.38,19.5,89.0,9.01,480.0
158,12.45,3.03,2.64,27.0,97.0,7.5,880.0
159,14.34,1.68,2.7,25.0,98.0,13.0,660.0
160,13.48,1.67,2.64,22.5,89.0,11.75,620.0
161,12.36,3.83,2.38,21.0,88.0,7.65,520.0
162,13.69,3.26,2.54,20.0,107.0,5.88,680.0
163,12.85,3.27,2.58,22.0,106.0,5.58,570.0
164,12.96,3.45,2.35,18.5,106.0,5.28,675.0
165,13.78,2.76,2.3,22.0,90.0,9.58,615.0
166,13.73,4.36,2.26,22.5,88.0,6.62,520.0
167,13.45,3.7,2.6,23.0,111.0,10.68,695.0
168,12.82,3.37,2.3,19.5,88.0,10.26,685.0
169,13.58,2.58,2.69,24.5,105.0,8.66,750.0
170,13.4,4.6,2.86,25.0,112.0,8.5,630.0
171,12.2,3.03,2.32,19.0,96.0,5.5,510.0
172,12.77,2.39,2.28,19.5,86.0,9.899999,470.0
173,14.16,2.51,2.48,20.0,91.0,9.7,660.0
174,13.71,5.65,2.45,20.5,95.0,7.7,740.0
175,13.4,3.91,2.48,23.0,102.0,7.3,750.0
176,13.27,4.28,2.26,20.0,120.0,10.2,835.0
177,13.17,2.59,2.37,20.0,120.0,9.3,840.0
179,13.883040983274105,1.5551049739006173,2.618679429020163,19.488173643455852,118.03392301327676,6.754002803214932,1132.2384406473252
180,12.705613833009112,2.8696915431571988,2.1627711219719763,18.199125423404553,85.46854993381145,2.206660044434319,289.5656445744196
181,14.081470467965973,2.458726005306383,2.570957075597348,19.907282310758717,89.83066504549471,9.597529136807925,670.5397218739564
