class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline
0,13.016087165904755,1.4568320663720646,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020
0,14.22799085877916,3.9767719508818953,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760
0,13.589975338353536,1.6828889003309202,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795
0,13.416956065922124,3.8445732687655485,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035
0,13.875305682764122,2.0192905892534596,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095
0,13.22777780146145,3.8756995988442404,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680
0,12.989984830559726,1.8083326446812522,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885
0,14.180780568419769,3.9499180378969787,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080
0,14.361302061065023,3.563639157889671,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065
0,13.942909993858018,1.7408258454948515,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985
0,14.113947922320792,2.023590508624354,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060
0,13.868435860715328,1.6698000813555955,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260
0,13.06315499834485,1.6900450626295538,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150
0,13.81436899927211,1.6879604986584973,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265
0,13.79252283779958,1.709203688377469,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190
0,13.794828752197498,1.9120907934323317,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375
0,13.781849638651678,1.6725455201554829,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060
0,13.59780189575079,1.6936033607233967,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120
0,14.185935047174416,1.819754938644669,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970
0,13.277448659370206,2.005409008099307,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270
0,13.733446422234216,1.3168809931101297,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285
1,12.40959867116101,0.9504148355064022,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
1,12.310549681869423,1.0630343916714964,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680
1,12.632463855786266,1.4076146286722042,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450
1,13.625092395408894,1.2057319274890688,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630
1,12.321444385881644,1.123591131608054,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420
1,12.202981501271733,1.4782072284028982,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355
1,12.42505158235498,1.25835875183283,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678
1,13.107077013614802,0.942954677643849,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502
1,12.410734731913532,1.1513156624866534,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510
1,13.354679286111631,0.9134708349528124,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750
1,12.183813733150988,1.1535067898686413,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718
1,12.30466952716352,1.7086135157523468,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870
1,13.922430945054023,1.532621186900263,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410
1,13.488545773534945,1.5895704205434955,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472
1,13.053510962115617,1.7212692946150527,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985
1,11.853661070084453,1.2085379257010507,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886
1,11.693362113235263,1.9376707268373605,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428
1,13.033533356002566,0.8151320885850928,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392
1,11.82786289489165,2.8629519897582756,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500
1,12.333724691676977,1.0607662423169044,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
1,12.619321940450574,3.8304714909041535,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463
1,11.991083226589984,0.9447905571099521,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278
1,12.734495673130438,1.853268970493393,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714
1,12.139989680294098,1.0782241620458304,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630
1,13.02896272414737,3.856675074038322,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515
1,11.807182171868167,0.7089515419858313,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520
1,12.649633015819335,0.9227804672019457,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
1,12.197157386604866,1.5958922237644717,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495
1,11.66334444376103,1.6003021943799505,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562
1,11.618496330390126,2.1511820958944483,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
1,12.100834206164778,1.2501161570287156,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625
1,12.083940506540266,1.8054203009454852,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480
1,12.039318585461052,1.517302816285751,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450
1,12.661502733365062,1.6105056415238086,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495
1,12.276699758694598,2.749796610054879,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290
1,11.604083809775942,2.0549711923303255,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345
1,12.410593986316904,1.5205715912092341,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937
1,11.822019914968134,2.0651755720353475,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625
1,12.300596579892098,1.435811854648365,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
1,12.370207561990163,1.0811189381051114,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660
1,12.280477796982566,3.1364735028979855,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406
1,12.022548223524321,2.0838989563425976,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710
1,12.582925448194551,1.3184774209454047,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562
1,12.326088763026187,2.4563407729629496,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438
1,11.787434501100352,1.756984834957601,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415
1,12.503453198953418,1.8185906248453847,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672
1,12.436400960413302,2.4808589622959443,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315
1,12.32656278851076,1.8491454955289328,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510
1,12.727086345070196,1.6409616366281317,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488
1,12.230454312103127,1.2815216936702478,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312
1,11.606978141496743,1.3828618135691844,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680
1,11.382114530352926,3.75569544842508,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562
1,12.518923766614247,2.3952176830723015,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325
1,11.762444824140989,2.6683748520093316,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607
1,11.509986265822459,0.7124622964862801,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434
1,12.072191813195714,1.3570796730854138,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385
1,11.042240206748577,1.557456483360605,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407
1,11.818591003208606,1.4899419228466892,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495
1,12.372561807733792,1.5712959374827473,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345
1,12.816388694453092,3.4802492245127357,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372
1,12.030521959536918,3.447164923027305,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564
1,11.482109036350998,2.445404287197978,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625
1,11.523086756543401,2.0851693701850236,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465
1,12.476941282449078,4.383694572930327,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365
1,12.993097005244676,5.7687097968493175,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380
1,11.893821308138202,4.351741806736785,2.39,21.0,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380
1,12.158913500367838,2.194093638006445,2.17,21.0,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378
1,12.389792816220005,1.5288324932934516,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352
1,11.7670132237348,2.136553591420336,2.78,28.5,92,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466
1,12.374044981136333,1.7013669176194512,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
1,12.01956325513743,4.266956416575084,2.38,22.0,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580
2,12.797056513757264,1.3805593852194602,2.32,18.0,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630
2,12.88278306212361,2.978706063368358,2.4,20.0,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530
2,12.76687968268875,2.2978409146645347,2.4,24.0,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560
2,12.719223745169415,3.6113747136173293,2.36,21.5,106,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600
2,12.472679350348164,1.2861055326589577,2.25,17.5,85,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650
2,12.662913894108078,2.5054404557614935,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695
2,12.218206709565049,4.792920527746542,2.54,21.0,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720
2,12.51692709571369,5.511173217985747,2.64,25.0,96,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515
2,13.523021743309268,3.6280920550319378,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580
2,12.790037584161723,2.942669335182606,2.61,24.0,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590
2,12.939232900562235,2.828107058783019,2.7,21.0,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600
2,13.413058658844427,2.552730559734076,2.35,20.0,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780
2,13.454750122539185,3.175417933188798,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520
2,13.627494533308546,4.983243867421734,2.35,20.0,92,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550
2,12.2605489874571,3.8342963978369142,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855
2,13.191735227766438,3.6868751139865084,2.15,21.0,102,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830
2,13.829790529335199,4.983806580406265,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415
2,12.816400913960642,4.5421786964728135,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625
2,13.341186300712806,3.304688952146774,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650
2,13.092055001955584,3.9442201444593823,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550
2,13.510167837174576,3.1548616509031833,2.62,24.0,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500
2,12.804062792525713,2.705097686681408,2.48,22.0,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480
2,13.082396894226127,1.899315928275285,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425
2,13.239427485745264,3.2498817890163543,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675
2,12.591896200569144,1.2942342383183756,2.1,20.0,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640
2,13.141003528069204,5.152175571826516,2.32,22.0,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725
2,13.915734263104111,4.174467560244725,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480
2,12.46923350698885,3.021785771006474,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880
2,14.291643410307586,1.6338899514005782,2.7,25.0,98,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660
2,13.506650382155623,1.6520482530584408,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620
2,12.320436377700078,3.853065238136314,2.38,21.0,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520
2,13.721948808448698,3.2285118657852787,2.54,20.0,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680
2,12.897028931892724,3.224072984685697,2.58,22.0,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570
2,12.926687415734497,3.4636117108678373,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675
2,13.819104715390095,2.773683172448005,2.3,22.0,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615
2,13.746755325543486,4.331683520496093,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520
2,13.483368512686043,3.6736890697525784,2.6,23.0,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695
2,12.896993344021089,3.382961684098538,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685
2,13.57003937076588,2.499113911443983,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750
2,13.369404848955993,4.521382866846075,2.86,25.0,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630
2,12.163893429004542,2.989869642093709,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510
2,12.736885178034346,2.3780774173709096,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470
2,14.1568703393086,2.527366458681331,2.48,20.0,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660
2,13.723847811332464,5.732409422017822,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740
2,13.411231246685908,3.9579065550570816,2.48,23.0,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750
2,13.303576465668067,4.271066264769658,2.26,20.0,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835
2,13.170527764043538,2.5889378058775043,2.37,20.0,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840
2,14.18900087688661,4.044001411627548,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560
