class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,phenol_ratio,alcohol_color_ratio,alcohol_proline_ratio,color_hue_product,flavanoid_proline
0,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,1.190322196670259,2.731480975651671,0.012826086945368619,6.75,4243.5
0,14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,1.1030299687787974,1.917333077688923,0.009295410465872391,9.0,5631.08
0,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,1.0210522733149918,1.8671230319009546,0.010404580144729328,9.344,3812.1000000000004
0,14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,1.1214281709185105,2.3064512408949613,0.011171874991271973,6.634,4019.2000000000003
0,13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,1.1525419821891585,2.0954542279614805,0.012238938042266426,7.457999999999999,3842.0
0,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,1.1909087300276577,1.6310342952834145,0.008446428566400934,10.700999999999999,6602.400000000001
0,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,1.122221806584516,2.674509279507985,0.016142011815216555,4.896,2560.35
0,14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,1.0566663144445618,2.488495134779622,0.01802564100253123,6.158500000000001,2472.6
0,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,0.9999995850624128,2.8733326948149567,0.01679220777039973,4.635,1855.7
0,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,1.1034478530851137,3.607893787396372,0.01324637679879577,4.218,2980.7999999999997
0,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,0.9556447759496871,3.2697192697915343,0.012660098509694484,4.2837000000000005,2405.55
0,13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,1.0316201456046854,3.8352261831743797,0.015976331342039844,3.9424000000000006,2205.45
0,13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,1.019011019387445,3.645250378421682,0.01572289154732182,4.0454,2224.4
0,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,1.0315785854110227,2.78958275217026,0.011205020911125504,4.416,3513.2999999999997
0,13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,0.912499619791825,3.367087755167657,0.010350194544474556,4.029,2814.15
0,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,1.0067793197358237,3.0822215372841026,0.015158469928788557,5.625,2717.55
0,14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,0.8792449512283202,2.982978088728066,0.013545893706718942,4.888000000000001,2411.55
0,13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,1.0833329722223426,2.4087715072330687,0.010684824894408695,6.7829999999999995,4176.25
0,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,1.115384225390131,1.9681156567948321,0.008963696363720332,7.521000000000001,4832.85
0,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,1.1115697886075253,3.5624990722658665,0.013818181804224058,4.723199999999999,2663.1
0,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,0.9288132444700866,2.5481476762689486,0.011141700395836679,6.75,3383.9
0,13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,1.076595286555197,3.2166659007938327,0.012337899532111505,4.620000000000001,2770.35
0,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,1.1037032949247054,2.643136736639856,0.014652173897117203,5.303999999999999,2741.6
0,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,1.030768834319679,2.886955894140023,0.01509090907376033,5.014,2358.4
0,13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,0.9918363298627224,3.070587512802938,0.01180995474044348,4.760000000000001,2685.15
0,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,1.0999995416668578,3.532431477721222,0.012813725477633603,4.366,2692.8
0,14.22,3.99,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760,1.013332995555668,2.788234747404952,0.01871052629117036,4.539,2310.4
0,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,1.0444441128748847,2.212071417280356,0.01705660375213006,5.823499999999999,2615.55
0,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035,1.0938771045399573,3.1331768380427945,0.012956521726612056,3.8948000000000005,2773.8
0,13.88,1.89,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,1.095384278343299,2.5561689583482585,0.012675799075181918,4.7783999999999995,3898.2000000000003
0,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680,0.9962117438591878,3.0366965512163873,0.0194705882066609,3.5752,1788.3999999999999
0,13.05,1.77,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,0.9999996666667778,2.589285200538651,0.014745762695202528,4.4352,2655.0
0,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,0.929824235149391,2.7118315435435987,0.013157407395224622,4.5588,2862.0
0,14.38,3.59,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,0.9753843152663645,2.9346932786340245,0.013502347405162115,5.096000000000001,3376.0499999999997
0,13.9,1.68,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,1.0935480343393438,2.2786881510347294,0.01411167511257698,5.551,3339.15
0,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,1.0618177957026196,2.2741931815817447,0.013301886779903878,6.634,3095.2
0,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,1.2291662398728334,1.5662919588436002,0.011063492054711513,9.968000000000002,4460.4
0,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,1.2022054403656468,1.8124997482639238,0.011347826077088846,8.064000000000002,3760.5
0,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,1.2204076651397284,2.469642416135283,0.010932806315468136,6.944,3782.3500000000004
0,13.82,1.75,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,0.9639172773409079,1.9602834098888782,0.011613445368392062,7.1205,4450.6
0,13.77,1.9,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375,0.9299996900001033,2.185713938775565,0.010014545447262147,7.118999999999999,3836.25
0,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,1.1153841863906975,2.34871754722777,0.012962264138714845,5.382,3074.0
0,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,0.9391888718956513,2.1695996528640555,0.012107142846332908,6.125,3113.6
0,14.22,1.7,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970,0.9374997070313414,2.2288397760439222,0.0146597937993198,5.997199999999999,2910.0
0,13.29,1.97,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270,1.0766663077778973,2.2149996308333946,0.01046456692089404,6.42,4102.1
0,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,1.0794114472319272,2.0176467621107705,0.010677042793247438,6.052,4715.95
1,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,0.2878786424855341,6.343586490468466,0.023788461492714495,2.0475,296.4
1,12.33,1.1,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,0.5317070577038744,3.770641048733624,0.018132352914511245,4.0875,741.2
1,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,0.6980194564260116,2.198260487259046,0.02808888882646914,5.635,634.5
1,13.67,1.25,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,0.852380546485454,3.5973674743769806,0.021698412663970774,4.6739999999999995,1127.7
1,12.37,1.13,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,0.8857140326531335,2.7797746562304138,0.029452380882256234,5.429,1302.0
1,12.17,1.45,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,0.9259254360182879,4.1254223303653115,0.03428169004427693,4.2775,621.25
1,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,1.0950408698178222,2.689129850189163,0.018244837731202303,5.473999999999999,1796.7
1,13.11,1.01,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,1.067113735867874,2.4735844389463324,0.026115537796582593,5.936,1596.3600000000001
1,12.37,1.17,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510,0.9478668493522041,2.6431618283842244,0.02425490191322568,5.2416,1020.0
1,13.34,0.94,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,0.5138337889985024,4.208200565236415,0.017786666642951112,3.2334,975.0
1,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,0.6918915178964768,4.2842090230845535,0.01700557100695603,3.648,919.04
1,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,0.927271884298287,4.029506875571516,0.01412643676537191,2.7633,887.4
1,13.86,1.51,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,0.9694911967826451,4.1005905027838745,0.03380487796632956,4.5968,1172.6
1,13.49,1.66,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,0.9787228836580407,3.6069509072323775,0.028580508414024347,3.6652,868.48
1,12.99,1.67,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,0.8757573103765727,3.8776107828027513,0.013187817245494601,4.3885000000000005,2846.65
1,11.96,1.09,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,0.6331359073562405,3.7258555371166553,0.013498871316592697,3.1778999999999997,1896.0400000000002
1,11.66,1.88,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,0.9751546738169729,3.0684202451525673,0.02724299059055376,4.6739999999999995,671.96
1,13.03,0.9,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,1.0410251071666117,2.832608079867809,0.03323979583357195,5.473999999999999,795.7599999999999
1,11.84,2.89,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,0.7674414142782476,4.467922842293267,0.02367999995264,2.544,660.0
1,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,0.9736836980612117,3.6264695216266114,0.01643999997808,3.604,1387.5
1,12.7,3.87,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,0.9010597522757058,4.9416323184310045,0.027429805556307113,3.0582999999999996,1180.6499999999999
1,12.0,0.92,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,0.9338839116182183,4.799998080000767,0.043165467470627814,3.4499999999999997,628.28
1,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,1.1499994772729647,3.261537625246763,0.017815126025469013,4.524,1806.4199999999998
1,12.08,1.13,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630,0.7899996050001975,5.490906595042456,0.019174603144167298,2.8820000000000006,995.4000000000001
1,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,0.9636357796146792,2.7187494335938682,0.025339805776039212,4.032,818.85
1,11.84,0.89,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,1.0045449979340917,3.881965940339036,0.022769230725443786,2.4095,1149.2
1,12.67,0.98,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,0.8818177809919175,4.8358760168412145,0.028155555492987653,3.2226,873.0
1,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,0.9494376688552422,4.963263280300701,0.024565656516028978,3.2585000000000006,836.55
1,11.65,1.67,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,0.8385412299264429,4.480767507397112,0.020729537329662744,3.5360000000000005,904.82
1,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680,0.8666662222224502,4.1571413724495105,0.01711764703365052,2.8,1149.2
1,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,0.7227269442150253,6.942524745675434,0.0193279999690752,1.8618000000000001,993.75
1,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,0.9374994140628662,5.033331236111985,0.02516666661423611,2.592,720.0
1,12.0,1.51,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,0.8620683709873305,3.3333324074076645,0.026666666607407408,3.7800000000000002,562.5
1,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,1.0579702478476467,4.160654373555943,0.025636363584573003,2.928,722.6999999999999
1,12.29,2.83,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,0.9183669720951133,5.716276411034227,0.04237931019869203,2.4724999999999997,652.5
1,11.62,1.99,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,0.7483441230648598,3.5753835152666102,0.0336811593226633,3.7699999999999996,779.6999999999999
1,12.47,1.52,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,0.9079996368001453,4.796152001479999,0.013308431149083852,3.016,2126.9900000000002
1,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,0.6187496132814917,4.723998110400756,0.0188959999697664,2.375,618.75
1,12.29,1.41,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,0.9803917723953834,4.237929573127733,0.028714953203937025,3.5669999999999997,1070.0
1,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,1.0653406064373276,2.7488882780248267,0.01874242421402663,4.68,2475.0
1,12.29,3.17,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,1.0491224389044074,5.343475937619157,0.030270935886032177,3.2659999999999996,1213.94
1,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,0.9730937340386842,3.660604951331833,0.017014084483078753,4.191,1540.7
1,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,0.9379303876342155,5.142855043732634,0.022419928785729664,2.5480000000000005,764.32
1,12.34,2.45,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,0.8242184280396765,4.407141283163828,0.028173515917412063,2.2399999999999998,924.18
1,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,0.6559997376001049,5.737861292300344,0.028481927642212225,1.9364,680.5999999999999
1,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,0.8727268760332381,4.255100593503199,0.01861607140086894,3.0576,1290.24
1,12.42,2.55,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,1.0952374433110459,4.599998296296927,0.03942857130340136,2.322,579.6
1,12.25,1.73,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510,1.230302284665282,3.6029401167823187,0.024019607796039986,3.4,1035.3
1,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,1.2753613946656561,3.8545442865017314,0.026065573717078745,2.904,858.88
1,12.22,1.29,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,0.864406413387113,4.525924249657685,0.03916666654113248,2.322,636.48
1,11.61,1.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,1.0656930417178678,4.381130422214935,0.017073529386656575,2.544,1985.6
1,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,0.8113204995847485,3.9517227752680086,0.020391459038449362,2.175,1449.96
1,12.52,2.43,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325,0.8901957293350081,6.259996870001564,0.03852307680454438,1.8,737.75
1,11.76,2.68,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,1.1599993371432358,3.094736027701045,0.01937397031404618,4.6739999999999995,1232.2099999999998
1,11.41,0.74,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,0.8104835441598611,3.7045442517713467,0.026290322520068382,3.3880000000000003,872.3399999999999
1,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,0.8945309005738669,4.16551580499455,0.03137662329512565,2.697,881.65
1,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,0.8821134625555029,5.8052601024946835,0.027100737034150522,3.2489999999999997,883.1899999999999
1,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,0.8080803999593941,6.061535353058794,0.023878787830547903,1.8524999999999998,792.0
1,12.42,1.61,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345,1.0449994775002611,6.0291232868333555,0.035999999895652175,2.1836,721.05
1,12.77,3.43,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,0.7668706951713528,3.755881248270221,0.034327956896967854,2.38,465.0
1,12.0,3.43,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564,0.819999590000205,9.374992675786972,0.02127659570695639,1.1904000000000001,924.9599999999999
1,11.45,2.4,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,0.9620686337694366,3.5230758390535875,0.018319999970688,2.6,1743.75
1,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465,1.5974837743761714,1.926666345555609,0.024860215000300615,5.58,2362.2
1,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,0.9681813780993734,5.971150975408184,0.03402739716704823,1.9136000000000002,777.4499999999999
1,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,1.0114499956297724,5.0192288387581385,0.03434210517278394,1.898,1007.0
1,11.87,4.31,2.39,21.0,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,1.059440189006927,4.239284200255643,0.03123684202306094,2.0999999999999996,1151.3999999999999
1,12.07,2.16,2.17,21.0,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,1.0192303772190856,4.3731868213091225,0.03193121684674281,2.3735999999999997,1001.6999999999999
1,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,1.1496346169216725,3.154821534309255,0.0353124998996804,2.7186,1108.8
1,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466,1.0516426987592964,3.9299986900004362,0.02530042913025659,2.91,1043.8400000000001
1,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,1.103603106485087,5.834902908064665,0.03616959053751582,1.8868,837.9000000000001
1,12.04,4.3,2.38,22.0,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,0.8333329365081253,4.630767449704826,0.020758620653864447,2.0540000000000003,1015.0
2,12.86,1.35,2.32,18.0,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,0.8278140213152178,3.1365846008330243,0.020412698380297304,3.1159999999999997,787.5
2,12.88,2.99,2.4,20.0,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,0.9384608165686027,2.3851847434843068,0.024301886746600214,3.996,646.6
2,12.81,2.31,2.4,24.0,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,0.9478252627606413,2.247368026777539,0.022874999959151786,3.7620000000000005,610.4000000000001
2,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600,0.7058819377165072,2.5399994920001014,0.021166666631388886,3.9000000000000004,720.0
2,12.51,1.24,2.25,17.5,85,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650,0.28999985500007247,2.295412422860106,0.01924615381654438,4.0875,377.0
2,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,0.4074071559215087,1.7746476373735722,0.018129496376792092,5.183,458.70000000000005
2,12.25,4.72,2.54,21.0,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,0.340579463348215,3.1818173553721154,0.017013888865258488,2.8875,338.4
2,12.53,5.51,2.64,25.0,96,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515,0.33519534346628854,2.5059994988001,0.024330097040135733,4.1,309.0
2,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,0.29629611339746087,2.366666251462061,0.023258620649554102,4.617000000000001,278.4
2,12.84,2.96,2.61,24.0,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,0.25862057818078527,2.609755567122852,0.021762711827520827,4.3788,354.0
2,12.93,2.81,2.7,21.0,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,0.32467511384732867,2.810868954158923,0.021549999964083334,3.542,300.0
2,13.36,2.56,2.35,20.0,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,0.35714260204099857,2.3857138596939538,0.01712820510624589,3.9199999999999995,390.0
2,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,0.3354836545266745,3.1080452625183304,0.025999999949999998,3.8714999999999997,270.40000000000003
2,13.62,4.95,2.35,20.0,92,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550,0.3999998000001,3.0954538419423083,0.02476363631861157,4.0040000000000004,440.0
2,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855,0.5652169817268249,1.4920826440825037,0.014327485363359666,5.336500000000001,666.9
2,13.16,3.57,2.15,21.0,102,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830,0.3666664222223852,3.2899991775002055,0.01585542166764407,2.4,456.50000000000006
2,13.88,5.04,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,0.3469384214914067,2.8326524831321462,0.03344578305193788,2.842,141.10000000000002
2,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,0.38235271626310813,1.682352721261082,0.0205919999670528,4.131,406.25
2,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,0.39378217938747184,1.5819475555881766,0.020492307660781067,4.631,494.0
2,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,0.9858149036773733,1.3914892136713604,0.023781818138578513,5.358,764.5
2,13.5,3.12,2.62,24.0,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,1.1214277704087356,1.5697672593293885,0.026999999946,5.074,785.0
2,12.79,2.67,2.48,22.0,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,0.9189182980281771,1.1842591496056343,0.02664583327782118,5.184,652.8000000000001
2,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,0.581817917355492,1.8464786131720263,0.030847058750948095,4.3309999999999995,544.0
2,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,0.4611108549384139,1.257604443193494,0.019599999970962963,5.8912,560.25
2,12.58,1.29,2.1,20.0,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,0.39189162710025194,1.6552629400969816,0.01965624996928711,4.4079999999999995,371.2
